categorie;libelle;alias;kcal_100g_indicatif;unite_base;portion_1;grammes_1;portion_2;grammes_2
Œufs et laitiers;Crème fraîche épaisse;creme fraiche;300;g;1 cuillère à soupe;25;;
Œufs et laitiers;Crème légère 15%;creme legere;160;g;1 cuillère à soupe;25;;
Œufs et laitiers;Beurre;beurre;750;g;1 noisette;10;1 plaquette;250
Œufs et laitiers;Emmental;emmental|gruyere|rape;380;g;1 portion;30;1 cuillère à soupe râpé;10
Œufs et laitiers;Comté;comte;410;g;1 portion;30;;
Œufs et laitiers;Camembert;camembert;300;g;1 portion;30;;
Œufs et laitiers;Chèvre frais;chevre;200;g;1 portion;30;;
Œufs et laitiers;Roquefort;roquefort|bleu;370;g;1 portion;25;;
Œufs et laitiers;Mozzarella;mozzarella;250;g;1 boule;125;;
Œufs et laitiers;Parmesan;parmesan;400;g;1 cuillère à soupe;10;;
Œufs et laitiers;Feta;feta;260;g;1 portion;40;;
Œufs et laitiers;Ricotta;ricotta;150;g;1 portion;100;;
Matières grasses;Huile d'olive;huile olive|huile;900;ml;1 cuillère à soupe;10;1 cuillère à café;5
Matières grasses;Huile de colza;huile de colza;900;ml;1 cuillère à soupe;10;;
Matières grasses;Huile de tournesol;huile de tournesol;900;ml;1 cuillère à soupe;10;;
Matières grasses;Mayonnaise;mayonnaise|mayo;700;g;1 cuillère à soupe;15;;
Matières grasses;Vinaigrette;vinaigrette;450;ml;1 cuillère à soupe;15;;
Matières grasses;Pesto;pesto;450;g;1 cuillère à soupe;20;;
Condiments;Ketchup;ketchup;100;g;1 cuillère à soupe;15;;
Condiments;Moutarde;moutarde;150;g;1 cuillère à café;5;;
Condiments;Sauce soja;sauce soja|soja;60;ml;1 cuillère à soupe;15;;
Condiments;Sauce tomate;sauce tomate|coulis;40;g;1 portion;120;;
Condiments;Vinaigre balsamique;vinaigre|balsamique;90;ml;1 cuillère à soupe;15;;
Oléagineux;Amandes;amandes;600;g;1 poignée;25;1 unité;1.2
Oléagineux;Noix;noix;690;g;1 poignée;25;1 cerneau;5
Oléagineux;Noisettes;noisettes;630;g;1 poignée;25;;
Oléagineux;Pignons de pin;pignons|pignon de pin;675;g;1 cuillère à soupe;10;;
Oléagineux;Noix de cajou;cajou;580;g;1 poignée;25;;
Oléagineux;Pistaches;pistaches;570;g;1 poignée;25;;
Oléagineux;Cacahuètes;cacahuetes|arachide;590;g;1 poignée;25;;
Oléagineux;Beurre de cacahuète;beurre de cacahuete;600;g;1 cuillère à soupe;20;;
Oléagineux;Graines de courge;graines de courge;560;g;1 cuillère à soupe;10;;
Oléagineux;Graines de tournesol;graines de tournesol;580;g;1 cuillère à soupe;10;;
Oléagineux;Graines de chia;chia;490;g;1 cuillère à soupe;12;;
Oléagineux;Graines de sésame;sesame;570;g;1 cuillère à soupe;10;;
Pains et petit-déjeuner;Baguette;baguette|pain;270;g;1 quart de baguette;60;1 tranche;30
Pains et petit-déjeuner;Pain complet;pain complet;250;g;1 tranche;35;;
Pains et petit-déjeuner;Pain de mie;pain de mie;270;g;1 tranche;25;;
Pains et petit-déjeuner;Biscotte;biscotte;400;g;1 unité;8;;
Pains et petit-déjeuner;Croissant;croissant;400;g;1 unité;60;;
Pains et petit-déjeuner;Pain au chocolat;pain au chocolat|chocolatine;420;g;1 unité;70;;
Pains et petit-déjeuner;Flocons d'avoine;avoine|porridge;370;g;1 portion;50;;
Pains et petit-déjeuner;Muesli;muesli;380;g;1 portion;50;;
Pains et petit-déjeuner;Granola;granola;450;g;1 portion;50;;
Pains et petit-déjeuner;Confiture;confiture;250;g;1 cuillère à café;15;;
Pains et petit-déjeuner;Miel;miel;300;g;1 cuillère à café;10;;
Pains et petit-déjeuner;Pâte à tartiner;nutella|pate a tartiner;540;g;1 cuillère à soupe;20;;
Boissons;Café noir;cafe|expresso;2;ml;1 tasse;100;;
Boissons;Café au lait;cafe au lait|latte;40;ml;1 tasse;200;;
Boissons;Thé;the|infusion;1;ml;1 tasse;200;;
Boissons;Jus d'orange;jus orange|jus de fruit;45;ml;1 verre;200;;
Boissons;Coca-Cola;coca|soda;42;ml;1 verre;250;1 canette;330
Boissons;Coca-Cola zéro;coca zero|soda light;0;ml;1 canette;330;;
Boissons;Bière blonde;biere;43;ml;1 demi;250;1 pinte;500
Boissons;Bière IPA;ipa|biere artisanale;60;ml;1 pinte;500;;
Boissons;Vin rouge;vin|vin rouge;85;ml;1 verre;125;;
Boissons;Vin blanc;vin blanc;80;ml;1 verre;125;;
Boissons;Champagne;champagne|cremant;80;ml;1 coupe;100;;
Boissons;Whisky;whisky|rhum|vodka|gin;250;ml;1 dose;40;;
Boissons;Lait d'amande;lait amande;25;ml;1 verre;200;;
Boissons;Lait de soja;lait soja;40;ml;1 verre;200;;
Boissons;Sirop dilué;sirop|grenadine;40;ml;1 verre;250;;
Plats;Pizza margherita;pizza;260;g;1 part;125;1 entière;350
Plats;Quiche lorraine;quiche;280;g;1 part;150;;
Plats;Lasagnes;lasagnes;150;g;1 portion;300;;
Plats;Hachis parmentier;hachis parmentier;120;g;1 portion;300;;
Plats;Curry de poulet;curry;130;g;1 portion;300;;
Plats;Chili;chili|chili con carne;130;g;1 portion;300;;
Plats;Soupe de légumes;soupe|potage;40;g;1 bol;300;;
Plats;Velouté;veloute;60;g;1 bol;300;;
Plats;Salade César;salade cesar;180;g;1 portion;250;;
Plats;Taboulé;taboule;150;g;1 portion;150;;
Plats;Gratin dauphinois;gratin;160;g;1 portion;200;;
Plats;Omelette;omelette;160;g;1 portion;150;;
Plats;Croque-monsieur;croque monsieur;280;g;1 unité;150;;
Plats;Sandwich jambon-beurre;sandwich;250;g;1 unité;200;;
Plats;Kebab;kebab|grec;250;g;1 unité;350;;
Plats;Burger;burger|hamburger;250;g;1 unité;220;;
Plats;Riz cantonais;riz cantonais;150;g;1 portion;250;;
Plats;Nouilles sautées;nouilles sautees|wok;170;g;1 portion;250;;
Plats;Sushi;sushi|maki;140;g;1 pièce;25;6 pièces;150
Plats;Nuggets de poulet;nuggets;280;g;1 unité;20;;
Sucré;Chocolat noir;chocolat noir;570;g;1 carré;5;1 tablette;100
Sucré;Chocolat au lait;chocolat|chocolat au lait;550;g;1 carré;5;;
Sucré;Biscuit sec;petit beurre|biscuit;450;g;1 unité;8;;
Sucré;Cookie;cookie;480;g;1 unité;40;;
Sucré;Chips;chips;540;g;1 poignée;25;1 sachet;120
Sucré;Popcorn;popcorn;500;g;1 bol;30;;
Sucré;Barre de céréales;barre de cereales;400;g;1 unité;25;;
Sucré;Glace vanille;glace;200;g;1 boule;50;;
Sucré;Sorbet;sorbet;130;g;1 boule;50;;
Sucré;Mousse au chocolat;mousse au chocolat;220;g;1 pot;100;;
Sucré;Tarte aux pommes;tarte aux pommes;240;g;1 part;120;;
Sucré;Gâteau au chocolat;gateau au chocolat|fondant;400;g;1 part;80;;
Sucré;Crêpe sucrée;crepe;250;g;1 unité;80;;
Sucré;Riz au lait;riz au lait;130;g;1 pot;120;;
Sucré;Flan;flan;120;g;1 pot;100;;
Sucré;Sucre;sucre;400;g;1 morceau;5;1 cuillère à café;5
